ID,Seed,t_apop,c_decay,c_dif,c_sec,t_circ,t_exp,igm,t_inc,v_inf,sigma,t_kill,speed,circ_age,foi_age,v_decay,v_dif,v_sec,Output 1,Output 2,Output 3,Output 4,Output 5,Output 6,Output 7,Output 8,Output 9,Output 10,Output 11,Output 12,Output 13,Output 14,Output 15,Output 16,Output 17,Output 18,Output 19,Output 20,Output 21,Output 22,Output 23,Output 24,Output 25,Output 26,Output 27,Output 28,Output 29,Output 30,Output 31,Output 32,Output 33,Output 34,Output 35,Output 36,Output 37,Output 38,Output 39,Output 40,Output 41,Output 42,Output 43,Output 44,Output 45,Output 46,Output 47,Output 48,Output 49,Output 50,Output 51,Output 52,Output 53,Output 54,Output 55,Output 56,Output 57,Output 58,Output 59,Output 60,Output 61,Output 62,Output 63,Output 64,Output 65,Output 66,Output 67,Output 68,Output 69,Output 70,Output 71,Output 72,Output 73,Output 74,Output 75,Output 76,Output 77,Output 78,Output 79,Output 80,Output 81,Output 82,Output 83,Output 84,Output 85,Output 86,Output 87,Output 88,Output 89,Output 90,Output 91,Output 92,Output 93,Output 94,Output 95,Output 96,Output 97
1,1,0.98885,0.0016953,0.70057,0.00017939,0.021939,851.54,80.321,0.1085,95.725,574.68,3.7644,1.0289,0.03779,71.886,4.1717,0.0012417,0.00023668,1,1,2,3,8,20,36,59,82,115,159,202,241,283,328,385,449,502,572,641,718,778,825,909,950,1004,1055,1150,1205,1259,1346,1443,1505,1582,1634,1687,1721,1786,1821,1692,1400,1112,823,483,129,60,54,40,22,13,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.41633,1.1493e-05,0.20779,0.00021746,0.097662,1021.1,15.073,0.062932,73.317,2033.8,1.2322,0.28743,130.2,420.5,3.217,0.74989,0.00046676,1,3,25,144,787,3028,7340,13339,20642,29585,40292,52241,64015,75620,87400,99746,1.1177e+05,1.2369e+05,1.3548e+05,1.4719e+05,1.5411e+05,1.5239e+05,1.4431e+05,1.3157e+05,1.1387e+05,91969,66394,44228,28478,17007,8791,3335,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1.7844,0.00011139,0.077388,0.00018099,0.3965,960.94,10.759,0.096822,153.33,1228.3,7.6805,2.1794,22.455,778.03,2.2123,0.099807,0.00027669,1,3,5,14,41,99,230,440,779,1262,1856,2561,3384,4231,5084,6009,6893,7750,8630,9497,10263,11035,11649,12353,13127,13826,14470,15141,16110,16902,17756,18554,19495,20501,21478,22531,23454,24412,25467,25605,23981,22150,20360,18450,16344,14157,14064,14320,14507,14666,12533,9409,6862,5450,4402,3662,3223,2903,2638,2464,2287,2196,2162,2083,2004,1978,1926,2042,2092,2135,2202,2228,2367,2506,2503,2625,2695,2814,2912,3029,3241,3441,3647,3791,3956,4196,4407,4694,4901,5055,5307,5612,5811,5939,6081,6398,6664
4,1,0.83627,0.00033352,7.1685,0.00020609,0.09526,911.54,22.189,0.1152,120.41,1525.1,45.14,0.019364,0.12836,206.51,0.46475,1.3399,0.00082469,1,6,76,654,4217,12897,25755,43012,65883,92096,1.1971e+05,1.462e+05,1.7287e+05,1.9265e+05,1.9603e+05,1.8578e+05,1.6538e+05,1.3467e+05,96221,58938,31923,14966,4660,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1.6536,0.0003573,0.076188,0.00012739,0.18414,815.06,16.426,0.089325,641.82,1527.3,4.9916,6.1043,0.23045,141.2,0.26182,0.033979,0.0012217,1,2,8,27,80,186,376,630,926,1287,1683,2066,2453,2877,3300,3715,4166,4597,4958,5402,5827,6172,6588,7088,7459,7903,8410,8831,9397,9843,10354,10701,11136,11543,11916,12461,12986,13438,13773,14111,14087,14035,13950,13836,13726,13938,14418,14698,15163,15413,14037,12559,11873,11563,11524,11774,12155,12358,12551,12749,13170,13573,13789,14123,14215,14566,14794,14974,14979,15172,15636,15904,16283,16746,17107,17517,17675,17979,18191,18137,18216,18401,18749,19196,19532,19552,19049,18033,16847,15416,14152,13075,12243,11436,10804,10292,9820
6,1,1.1971,0.0025518,0.17992,0.00033229,0.73413,1011.7,8.0774,0.072707,1027,1543.6,14.85,3.8999,28.426,87.43,0.16975,0.010201,0.00084759,1,1,4,11,20,42,79,131,185,253,352,458,583,691,790,932,1080,1193,1317,1414,1553,1670,1801,1921,2074,2201,2345,2470,2579,2707,2783,2871,3000,3143,3255,3342,3469,3610,3723,3800,3873,4033,4161,4268,4339,4414,4542,4645,4723,4744,4233,3478,2986,2542,2345,2050,1965,1886,1889,2040,2041,2038,2022,2027,2003,2098,2121,2121,2061,2027,2012,2166,2233,2261,2353,2387,2285,2265,2287,2473,2439,2455,2498,2517,2631,2649,2646,2591,2630,2668,2781,2694,2727,2732,2663,2901,2850
7,1,1.3432,0.00039892,0.98915,0.0001752,0.63623,904.69,44.699,0.098942,172.02,2754.9,17.64,0.56607,0.76839,76.847,0.24327,0.34561,0.00028532,1,1,7,18,47,134,375,922,2034,3688,5749,8288,11155,14161,17172,20074,23107,26038,28857,31616,34477,37270,40136,43027,46096,49245,52289,55494,58570,61711,64557,67335,70398,73213,75819,77845,79006,78514,75418,69763,61016,51577,42559,34287,27402,22324,19770,17498,15325,12993,9287,5534,2997,1518,745,336,87,15,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1.5049,5.4599e-06,3.9921,0.00025953,0.26998,1130.5,5.2804,0.1256,48.488,1363.3,5.032,0.2024,87.486,161,1.6245,0.021328,0.00093271,1,13,113,339,679,1191,1842,2634,3552,4616,5689,6757,7892,9006,10109,11274,12465,13591,14865,16106,17288,18415,19673,20927,22132,23487,24714,25988,27316,28593,29945,31248,32477,33706,35057,36254,37594,38886,40121,41070,41753,42497,43304,44070,44637,45129,46052,47360,48552,49209,48304,46888,45354,44184,43476,43084,42430,41318,39640,37537,35301,32781,30153,27842,25766,24038,22534,20757,19029,17526,16075,14622,13117,11752,10471,9171,7977,6799,5766,4690,3634,2707,1850,1207,705,330,81,6,0,0,0,0,0,0,0,0,0
9,1,1.2102,0.0017005,0.91255,0.00017041,0.90683,1091.1,4.173,0.061874,50.843,1858,77.909,0.13875,0.80223,227.8,0.015764,0.038226,0.00049101,1,4,42,173,445,860,1422,2173,3055,4036,5088,6208,7351,8392,9431,10454,11503,12553,13561,14683,15948,17199,18529,19630,20875,22083,23166,24142,25082,26113,27266,28306,29488,30573,31774,32900,34044,35184,36386,37621,39047,40375,41607,42810,44034,45195,46376,47528,48760,50010,49502,47532,45189,43571,42725,41912,40392,38823,36860,34489,31763,29300,26830,24699,22702,20691,18713,16910,15330,13718,12192,10691,9233,7913,6641,5545,4478,3437,2321,1364,738,337,118,25,5,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1.4315,0.0047698,2.048,0.00013715,0.17744,664.39,38.47,0.15934,30.856,1710.9,11.373,0.27092,20.387,46.574,3.6073,0.060858,0.00094643,1,23,203,689,1487,2581,3967,5477,7097,8677,10260,11740,13277,14818,16419,18088,19708,21370,22894,24545,26114,27496,29000,30431,31726,33292,34819,36267,38132,39780,41418,42945,44600,46265,48061,49583,51369,52274,51714,46011,37138,27978,19470,12879,12397,11978,11516,10970,10474,9933,8819,7384,6164,5095,4450,3973,3649,3378,2965,2750,2608,2441,2294,2071,1801,1703,1484,1442,1309,1069,1057,940,848,780,505,206,80,46,12,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1.4475,8.3427e-05,5.5932,0.00015785,0.68596,834.31,14.157,0.10186,34.314,1212.7,14.057,0.086031,78.164,247.99,33.129,0.0012767,0.00023464,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
